title
#Yaaram
1920 London
1920: Evil Returns
2 States
22 Yards
3 AM: A Paranormal Experience
3 Storeys
31st October
3G - A Killer Connection
404: Error Not Found
5 Ghantey Mien 5 Crore
5 Weddings
7 Hours to Go
?: A Question Mark
A Decent Arrangement
A Flat
A Flying Jatt
A Gentleman
Aa Gaya Hero
Aakhari Decision
Aakrosh
Aalaap
Aarakshan
Aashayein
Aashiqui 2
Aashiqui.in
Aazaan
Ab Tak Chhappan 2
Action Jackson
Action Replay
Ae Dil Hai Mushkil
Agent Vinod
Agneepath
Airlift
Aiyaary
Aiyyaa
Ajab Gazabb Love
Ajji
Akaash Vani
Aksar 2
Albert Pinto Ko Gussa Kyun Aata Hai?
Aligarh
All Is Well
Alone
Always Kabhi Kabhi
Amavas
Amit Sahni Ki List
Anaarkali of Aarah
Andhadhun
Angel
Angry Indian Goddesses
Anjaana Anjaani
Ankhon Dekhi
Ankur Arora Murder Case
Anna
Antardwand
Anuradha
Any Body Can Dance 2
Apartment: Rent at Your Own Risk
Arjun Patiala
Arjun: The Warrior Prince
Article 15
Ata Pata Lapatta
Aurangzeb
Azhar
B.A. Pass
Baaghi
Baaghi 2
Baar Baar Dekho
Baat Bann Gayi
Baazaar
Babloo Happy Hai
Babuji Ek Ticket Bambai
Babumoshai Bandookbaaz
Baby
Bachche Kachche Sachche
Badhaai Ho
Badla
Badlapur Boys
Badmashiyaan
Badrinath Ki Dulhania
Bajatey Raho
Bajirao Mastani
Bajrangi Bhaijaan
Bala
Balwinder Singh Famous Ho Gaya
Band Baaja Baaraat
Bandook
Bang Bang
Bangistan
Banjo
Bank Chor
Bareilly Ki Barfi
Barfi!
Barkhaa
Batla House
Battalion 609
Batti Gul Meter Chalu
Bazaar E Husn
Bbuddah... Hoga Terra Baap
Befikre
Begum Jaan
Behen Hogi Teri
Beiimaan Love
Bewakoofiyaan
Beyond the Clouds
Bezubaan Ishq
Bhaag Johnny
Bhaag Milkha Bhaag
Bhanwarey
Bhavesh Joshi Superhero
Bheja Fry 2
Bhoomi
Bhoothnath Returns
Bhopal: A Prayer for Rain
Bin Bulaye Baraati
Bioscopewala
Bittoo Boss
Blood Money
Bloody Isshq
Bobby Jasoos
Bodyguard
Bol Bachchan
Bollywood Diaries
Bombairiya
Bombay Talkies
Bombay Velvet
Boss
Brahman Naman
Break Ke Baad
Breakaway
Brother Superhit!
Brothers
Bubble Gum
Buddha in a Traffic Jam
Bullett Raja
Bumboo
Bumm Bumm Bole
Bumper Draw
Bypass Road
Calapor
Calendar Girls
Calling Mr. Joe B Carvalho
Chaalis Chauraasi
Chaar Din Ki Chandni
Chaarfutiya Chhokare
Chakravyuh
Chal Pichchur Banate Hain
Chalk N Duster
Challo Driver
Chalo Dilli
Chance Pe Dance
Chargesheet
Charlie Kay Chakkar Mein
Chase
Chashme Baddoor
Chatur Singh Two Star
Chef
Chennai Express
Chhota Bheem and the Throne of Bali
Chicken Curry Law
Children of War
Chillar Party
Chinar Daastaan-E-Ishq
Chittagong
Chor Chor Super Chor
Cigarette Ki Tarah
City of Gold - Mumbai 1982: Ek Ankahee Kahani
City of Revenge
CityLights
Click
Cocktail
Coffee Bloom
Coffee with D
Colours of Passion
Commando
Court
Crazy Cukkad Family
Creature
Crook: It's Good to Be Bad
D-Day
Daas Dev
Dabangg 2
Daddy
Damadamm!
Dangal
Dangerous Ishq
Dark wind
Darr @ the Mall
Dassehra
Days of Tafree
De De Pyaar De
Dear Dad
Dear Maya
Dear Zindagi
Dedh Ishqiya
Dee Saturday Night
Dehraadun Diary
Dekh Tamasha Dekh
Delhi Belly
Delhi Safari
Department
Desi Boyz
Desi Kattey
Detective Byomkesh Bakshy!
Dhadak
Dharam Sankat Mein
Dhobi Ghat
Dhoom 3
Dil Dhadakne Do
Dil Jo Na Keh Saka
Dil Juunglee
Dil Toh Baccha Hai Ji
Dil Toh Deewana Hai
Dilliwaali Zaalim Girlfriend
Dilwale
Direct Ishq
Dirty Politics
Dishkiyaoon
Do Dooni Chaar
Do Lafzon Ki Kahani
Dobaara: See Your Evil
Dolly Ki Doli
Don 2
Dongri Ka Raja
Double Dhamaal
Dream Girl
Drishyam
Dulha Mil Gaya
Dum Laga Ke Haisha
Dum Maaro Dum
Dunno Y Na Jaane Kyun...
Ek Haseena Thi Ek Deewana Tha
Ek Kahani Julie Ki
Ek Main Aur Ekk Tu
Ek Paheli Leela
Ek Rani Aisi Bhi Thi
Ek Second... Jo Zindagi Badal De...
Ek Tha Tiger
Ek Thi Daayan
Ek Villain
Ekk Deewana Tha
Ekkees Toppon Ki Salaami
Enemmy
English Vinglish
Evening Shadows
F.A.L.T.U
Family of Thakurganj
Fan
Fatso!
Fearless
Ferrari Ki Sawaari
Fever
Filmistaan
