,title,genres,combined_features,index
841,Namaste England,Comedy|Drama|Romance,   Namaste   England Comedy   Drama   Romance  ,841
842,Yamla Pagla Deewana Phir Se...,Action|Comedy,   Yamla   Pagla   Deewana   Phir   Se   Action   Comedy  ,842
843,Kuchh Bheege Alfaaz,Romance,   Kuchh   Bheege   Alfaaz Romance  ,843
844,Mulk,Drama,   Mulk Drama  ,844
845,Dhadak,Comedy|Drama|Romance,   Dhadak Comedy   Drama   Romance  ,845
846,Total Dhamaal,Action|Adventure|Comedy,   Total   Dhamaal Action   Adventure   Comedy  ,846
847,Saheb Biwi Aur Gangster 3,Action|Crime|Drama,   Saheb   Biwi   Aur   Gangster  3 Action   Crime   Drama  ,847
848,October,Drama|Romance,   October Drama   Romance  ,848
849,Jaane kyun de yaaron,Drama,   Jaane  kyun  de  yaaron Drama  ,849
850,Batti Gul Meter Chalu,Drama,   Batti   Gul   Meter   Chalu Drama  ,850
851,Housefull 4,Action|Comedy|Fantasy,   Housefull  4 Action   Comedy   Fantasy  ,851
852,Genius,Action|Thriller,   Genius Action   Thriller  ,852
853,Sallu Ki Shaadi,Romance,   Sallu   Ki   Shaadi Romance  ,853
854,Nirdosh,Drama|Mystery|Thriller,   Nirdosh Drama   Mystery   Thriller  ,854
855,Badhaai Ho,Comedy|Drama,   Badhaai   Ho Comedy   Drama  ,855
856,Jhalki,Drama,   Jhalki Drama  ,856
857,Thackeray,Biography|Drama,   Thackeray Biography   Drama  ,857
858,Photograph,Drama|Romance,   Photograph Drama   Romance  ,858
859,Love Per Square Foot,Comedy|Romance,   Love   Per   Square   Foot Comedy   Romance  ,859
860,Arjun Patiala,Action|Comedy,   Arjun   Patiala Action   Comedy  ,860
861,Babuji Ek Ticket Bambai,Comedy|Drama,   Babuji   Ek   Ticket   Bambai Comedy   Drama  ,861
862,Happy Phirr Bhag Jayegi,Comedy,   Happy   Phirr   Bhag   Jayegi Comedy  ,862
863,Mercury,Horror|Thriller,   Mercury Horror   Thriller  ,863
864,Karwaan,Comedy|Drama,   Karwaan Comedy   Drama  ,864
865,Ek Kahani Julie Ki,Drama,   Ek   Kahani   Julie   Ki Drama  ,865
866,Laila Majnu,Drama|Romance,   Laila   Majnu Drama   Romance  ,866
867,Mard Ko Dard Nahin Hota,Action|Comedy,   Mard   Ko   Dard   Nahin   Hota Action   Comedy  ,867
868,Prince's Son,Comedy|Romance,   Prince  s   Son Comedy   Romance  ,868
869,Judgementall Hai Kya,Comedy|Drama|Thriller,   Judgementall   Hai   Kya Comedy   Drama   Thriller  ,869
870,Andhadhun,Crime|Thriller,   Andhadhun Crime   Thriller  ,870
871,Sonchiriya,Action|Crime|Drama,   Sonchiriya Action   Crime   Drama  ,871
872,Stree,Comedy|Horror,   Stree Comedy   Horror  ,872
873,Saand Ki Aankh,Biography|Drama,   Saand   Ki   Aankh Biography   Drama  ,873
874,Why Cheat India,Crime|Drama,   Why   Cheat   India Crime   Drama  ,874
875,The Tashkent Files,Drama|Mystery|Thriller,   The   Tashkent   Files Drama   Mystery   Thriller  ,875
876,Dil Bechara,Drama|Romance,   Dil   Bechara Drama   Romance  ,876
877,One Day: Justice Delivered,Action|Crime|Thriller,   One   Day   Justice   Delivered Action   Crime   Thriller  ,877
878,Badla,Crime|Drama|Mystery,   Badla Crime   Drama   Mystery  ,878
879,Halkaa,Drama|Family,   Halkaa Drama   Family  ,879
880,Section 375,Crime|Drama,   Section  375 Crime   Drama  ,880
881,High Jack,Comedy,   High   Jack Comedy  ,881
882,Satyameva Jayate,Action|Thriller,   Satyameva   Jayate Action   Thriller  ,882
883,Jhootha Kahin Ka,Comedy,   Jhootha   Kahin   Ka Comedy  ,883
884,Mere Pyare Prime Minister,Drama,   Mere   Pyare   Prime   Minister Drama  ,884
885,Bioscopewala,Drama,   Bioscopewala Drama  ,885
886,Tumbbad,Drama|Fantasy|Horror,   Tumbbad Drama   Fantasy   Horror  ,886
887,Khamoshi,Horror|Thriller,   Khamoshi Horror   Thriller  ,887
888,Uri: The Surgical Strike,Action|Drama|War,   Uri   The   Surgical   Strike Action   Drama   War  ,888
889,The Zoya Factor,Comedy|Drama|Romance,   The   Zoya   Factor Comedy   Drama   Romance  ,889
890,Hope Aur Hum,Comedy|Drama|Family,   Hope   Aur   Hum Comedy   Drama   Family  ,890
891,Phamous,Comedy|Crime|Drama,   Phamous Comedy   Crime   Drama  ,891
892,Pataakha,Action|Comedy|Drama,   Pataakha Action   Comedy   Drama  ,892
893,Amavas,Horror|Thriller,   Amavas Horror   Thriller  ,893
894,Jalebi,Drama,   Jalebi Drama  ,894
895,Helicopter Eela,Drama,   Helicopter   Eela Drama  ,895
896,Pihu,Drama|Thriller,   Pihu Drama   Thriller  ,896
897,India's Most Wanted,Action|Thriller,   India  s   Most   Wanted Action   Thriller  ,897
898,Good Newwz,Comedy|Drama|Romance,   Good   Newwz Comedy   Drama   Romance  ,898
899,De De Pyaar De,Comedy|Romance,   De   De   Pyaar   De Comedy   Romance  ,899
900,Prassthanam,Action|Drama,   Prassthanam Action   Drama  ,900
901,Jabariya Jodi,Action|Comedy|Drama,   Jabariya   Jodi Action   Comedy   Drama  ,901
902,Mitron,Comedy,   Mitron Comedy  ,902
903,Batla House,Action|Drama|Thriller,   Batla   House Action   Drama   Thriller  ,903
904,Keep Safe Distance,Action|Thriller,   Keep   Safe   Distance Action   Thriller  ,904
905,Family of Thakurganj,Action|Drama,   Family  of   Thakurganj Action   Drama  ,905
906,The Sky Is Pink,Drama|Family|Romance,   The   Sky   Is   Pink Drama   Family   Romance  ,906
907,Commando 3,Action|Thriller,   Commando  3 Action   Thriller  ,907
908,Made in China,Comedy|Drama,   Made  in   China Comedy   Drama  ,908
909,Kabir Singh,Drama|Romance,   Kabir   Singh Drama   Romance  ,909
910,The Journey of Karma,Drama,   The   Journey  of   Karma Drama  ,910
911,Notebook,Drama|Romance,   Notebook Drama   Romance  ,911
912,Motichoor Chaknachoor,Comedy|Romance,   Motichoor   Chaknachoor Comedy   Romance  ,912
913,Bypass Road,Drama|Thriller,   Bypass   Road Drama   Thriller  ,913
914,Satellite Shankar,Action|Drama,   Satellite   Shankar Action   Drama  ,914
915,Setters,Thriller,   Setters Thriller  ,915
916,Marjaavaan,Action|Romance,   Marjaavaan Action   Romance  ,916
917,Dream Girl,Comedy|Romance,   Dream   Girl Comedy   Romance  ,917
918,Mission Mangal,Drama|History,   Mission   Mangal Drama   History  ,918
919,Hum chaar,Drama,   Hum  chaar Drama  ,919
920,Ghost,Horror|Thriller,   Ghost Horror   Thriller  ,920
921,Bala,Comedy,   Bala Comedy  ,921
922,Battalion 609,War,   Battalion  609 War  ,922
923,Pagalpanti (Hindi),Action|Comedy,   Pagalpanti   Hindi   Action   Comedy  ,923
924,22 Yards,Sport,  22   Yards Sport  ,924
925,PM Narendra Modi,Biography|Drama,   P M   Narendra   Modi Biography   Drama  ,925
926,Bachche Kachche Sachche,Drama|Short,   Bachche   Kachche   Sachche Drama   Short  ,926
927,Pati Patni Aur Woh,Comedy|Romance,   Pati   Patni   Aur   Woh Comedy   Romance  ,927
928,Risknamaa,Thriller,   Risknamaa Thriller  ,928
